Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 806       , 412       , 2        , 0.02                     
 403       , 752       , 1        , 0.02                     
 844       , 945       , 1        , 0.041999999999999996     
 413       , 141       , 1        , 0.007                    
 73        , 677       , 1        , 0.004                    
 971       , 944       , 1        , 0.047                    
 972       , 37        , 1        , 0.003                    
 336       , 279       , 3        , 0.014                    
 978       , 938       , 2        , 0.047                    
 249       , 741       , 3        , 0.012                    
 699       , 354       , 3        , 0.017                    
 964       , 133       , 1        , 0.007                    
 167       , 536       , 1        , 0.008                    
 821       , 757       , 1        , 0.038                    
 289       , 401       , 1        , 0.013                    
 707       , 587       , 1        , 0.029                    
 802       , 180       , 2        , 0.009000000000000001     
 804       , 920       , 4        , 0.04                     
 396       , 183       , 3        , 0.009000000000000001     
 33        , 303       , 3        , 0.003                    
 225       , 15        , 15       , 0.001                    
 395       , 190       , 5        , 0.009000000000000001     
 308       , 474       , 2        , 0.015000000000000001     
 846       , 34        , 2        , 0.002                    
 527       , 379       , 1        , 0.018000000000000002     
 606       , 22        , 2        , 0.002                    
 363       , 506       , 11       , 0.017                    
 614       , 863       , 1        , 0.030000000000000002     
 842       , 7         , 1        , 0.002                    
 546       , 261       , 3        , 0.025                    
 204       , 528       , 12       , 0.009000000000000001     
 192       , 631       , 1        , 0.01                     
 641       , 800       , 1        , 0.031                    
 765       , 492       , 3        , 0.024                    
 20        , 306       , 2        , 0.002                    
 539       , 541       , 1        , 0.026                    
 984       , 143       , 1        , 0.008                    
 978       , 728       , 2        , 0.04                     
 544       , 351       , 1        , 0.028                    
 199       , 562       , 1        , 0.015000000000000001     
 723       , 653       , 1        , 0.032                    
 696       , 425       , 1        , 0.031                    
 132       , 658       , 2        , 0.007                    
 711       , 575       , 1        , 0.028                    
 722       , 298       , 2        , 0.014                    
 927       , 317       , 1        , 0.015000000000000001     
 217       , 632       , 1        , 0.011                    
 80        , 414       , 2        , 0.005                    
 704       , 359       , 1        , 0.018000000000000002     
 610       , 139       , 1        , 0.007                    
 372       , 572       , 4        , 0.018000000000000002     
 394       , 143       , 1        , 0.007                    
 815       , 507       , 1        , 0.024                    
 629       , 238       , 17       , 0.01                     
 750       , 390       , 30       , 0.018000000000000002     
 288       , 991       , 1        , 0.014                    
 180       , 356       , 4        , 0.009000000000000001     
 897       , 342       , 3        , 0.016                    
 422       , 482       , 2        , 0.02                     
 468       , 366       , 6        , 0.018000000000000002     
 969       , 270       , 3        , 0.012                    
 548       , 74        , 2        , 0.004                    
 368       , 234       , 2        , 0.011                    
 18        , 28        , 2        , 0.002                    
 993       , 129       , 3        , 0.008                    
 660       , 732       , 12       , 0.033                    
 813       , 829       , 1        , 0.04                     
 974       , 601       , 1        , 0.029                    
 550       , 257       , 1        , 0.012                    
 215       , 422       , 1        , 0.01                     
 112       , 60        , 4        , 0.004                    
 378       , 77        , 7        , 0.005                    
 453       , 946       , 1        , 0.022                    
 698       , 848       , 2        , 0.034999999999999996     
 629       , 350       , 1        , 0.017                    
 197       , 569       , 1        , 0.01                     
 333       , 295       , 1        , 0.014                    
 264       , 630       , 6        , 0.013                    
 598       , 128       , 2        , 0.007                    
 414       , 82        , 2        , 0.005                    
 662       , 798       , 2        , 0.032                    
 945       , 167       , 1        , 0.008                    
 893       , 581       , 1        , 0.028                    
 57        , 67        , 1        , 0.004                    
 32        , 6         , 2        , 0.001                    
 195       , 626       , 1        , 0.009000000000000001     
 644       , 64        , 4        , 0.006                    
 927       , 440       , 1        , 0.022                    
 66        , 296       , 2        , 0.004                    
 218       , 911       , 1        , 0.01                     
 443       , 612       , 1        , 0.022                    
 451       , 820       , 41       , 0.02                     
 257       , 481       , 1        , 0.012                    
 591       , 335       , 1        , 0.016                    
 154       , 670       , 2        , 0.008                    
 363       , 106       , 1        , 0.006                    
 936       , 719       , 1        , 0.037                    
 519       , 364       , 1        , 0.018000000000000002     
 19        , 151       , 1        , 0.001                    
 995       , 78        , 1        , 0.004                    
 223       , 725       , 1        , 0.01                     
 615       , 84        , 3        , 0.005                    
 723       , 842       , 1        , 0.036000000000000004     
 639       , 289       , 1        , 0.013                    
 976       , 323       , 1        , 0.015000000000000001     
 999       , 943       , 1        , 0.047                    
 303       , 101       , 101      , 0.001                    
 455       , 516       , 1        , 0.022                    
 175       , 101       , 1        , 0.008                    
 458       , 644       , 2        , 0.022                    
 809       , 400       , 1        , 0.019                    
 16        , 490       , 2        , 0.002                    
 104       , 320       , 8        , 0.005                    
 733       , 54        , 1        , 0.003                    
 670       , 409       , 1        , 0.02                     
 324       , 71        , 1        , 0.005                    
 516       , 555       , 3        , 0.028                    
 1000      , 149       , 1        , 0.008                    
 278       , 782       , 2        , 0.013                    
 820       , 779       , 41       , 0.052                    
 904       , 254       , 2        , 0.023                    
 214       , 425       , 1        , 0.019                    
 406       , 590       , 2        , 0.037                    
 71        , 919       , 1        , 0.008                    
 953       , 744       , 1        , 0.052                    
 413       , 213       , 1        , 0.01                     
 670       , 579       , 1        , 0.029                    
 432       , 749       , 1        , 0.022                    
 738       , 738       , 738      , 0.002                    
 480       , 11        , 1        , 0.005                    
 678       , 505       , 1        , 0.025                    
 569       , 842       , 1        , 0.028                    
 52        , 398       , 2        , 0.004                    
 882       , 391       , 1        , 0.019                    
 815       , 761       , 1        , 0.037                    
 150       , 248       , 2        , 0.008                    
 425       , 974       , 1        , 0.02                     
 601       , 705       , 1        , 0.030000000000000002     
 31        , 878       , 1        , 0.002                    
 442       , 401       , 1        , 0.019                    
 342       , 230       , 2        , 0.011                    
 257       , 152       , 1        , 0.008                    
 585       , 247       , 13       , 0.011                    
 203       , 535       , 1        , 0.009000000000000001     
 789       , 933       , 3        , 0.039                    
 31        , 715       , 1        , 0.002                    
 87        , 763       , 1        , 0.004                    
 755       , 602       , 1        , 0.029                    
 950       , 268       , 2        , 0.012                    
 242       , 159       , 1        , 0.008                    
 224       , 302       , 2        , 0.011                    
 937       , 128       , 1        , 0.008                    
 482       , 814       , 2        , 0.023                    
 476       , 167       , 1        , 0.008                    
 670       , 422       , 2        , 0.020999999999999998     
 960       , 250       , 10       , 0.012                    
 435       , 937       , 1        , 0.020999999999999998     
 578       , 704       , 2        , 0.028                    
 621       , 847       , 1        , 0.030000000000000002     
 813       , 371       , 1        , 0.017                    
 65        , 3         , 1        , 0.001                    
 982       , 610       , 2        , 0.030000000000000002     
 890       , 29        , 1        , 0.002                    
 720       , 331       , 1        , 0.016                    
 626       , 198       , 2        , 0.009000000000000001     
 269       , 977       , 1        , 0.012                    
 281       , 272       , 1        , 0.013                    
 614       , 635       , 1        , 0.030000000000000002     
 477       , 374       , 1        , 0.018000000000000002     
 50        , 708       , 2        , 0.003                    
 207       , 246       , 3        , 0.01                     
 706       , 204       , 2        , 0.01                     
 484       , 257       , 1        , 0.013                    
 711       , 573       , 3        , 0.028                    
 289       , 369       , 1        , 0.018000000000000002     
 447       , 24        , 3        , 0.002                    
 691       , 346       , 1        , 0.016                    
 835       , 730       , 5        , 0.036000000000000004     
 333       , 893       , 1        , 0.023                    
 297       , 603       , 9        , 0.024                    
 368       , 287       , 1        , 0.025                    
