Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 861       , 783       , 3        , 0.038                    
 725       , 867       , 1        , 0.034999999999999996     
 459       , 68        , 17       , 0.003                    
 801       , 182       , 1        , 0.008                    
 489       , 775       , 1        , 0.023                    
 700       , 540       , 20       , 0.025                    
 949       , 824       , 1        , 0.041999999999999996     
 164       , 742       , 2        , 0.008                    
 274       , 566       , 2        , 0.013                    
 585       , 600       , 15       , 0.028                    
 529       , 511       , 1        , 0.024                    
 584       , 631       , 1        , 0.029                    
 157       , 109       , 1        , 0.005                    
 253       , 849       , 1        , 0.012                    
 222       , 323       , 1        , 0.01                     
 706       , 595       , 1        , 0.029                    
 427       , 138       , 1        , 0.007                    
 662       , 385       , 1        , 0.018000000000000002     
 79        , 937       , 1        , 0.004                    
 329       , 111       , 1        , 0.005                    
 815       , 178       , 1        , 0.008                    
 603       , 556       , 1        , 0.026                    
 403       , 918       , 1        , 0.019                    
 653       , 766       , 1        , 0.032                    
 804       , 378       , 6        , 0.018000000000000002     
 591       , 395       , 1        , 0.019                    
 588       , 151       , 1        , 0.008                    
 527       , 16        , 1        , 0.002                    
 202       , 418       , 2        , 0.009000000000000001     
 588       , 789       , 3        , 0.029                    
 662       , 145       , 1        , 0.007                    
 645       , 825       , 15       , 0.031                    
 428       , 223       , 1        , 0.01                     
 390       , 435       , 15       , 0.018000000000000002     
 85        , 674       , 1        , 0.004                    
 817       , 789       , 1        , 0.038                    
 678       , 849       , 3        , 0.033                    
 312       , 682       , 2        , 0.015000000000000001     
 841       , 453       , 1        , 0.020999999999999998     
 953       , 299       , 1        , 0.014                    
 424       , 11        , 1        , 0.002                    
 392       , 847       , 7        , 0.019                    
 818       , 591       , 1        , 0.029                    
 852       , 598       , 2        , 0.029                    
 598       , 194       , 2        , 0.009000000000000001     
 493       , 183       , 1        , 0.008                    
 539       , 314       , 1        , 0.015000000000000001     
 522       , 7         , 1        , 0.002                    
 166       , 462       , 2        , 0.008                    
 842       , 36        , 2        , 0.003                    
 217       , 565       , 1        , 0.01                     
 454       , 922       , 2        , 0.022                    
 564       , 175       , 1        , 0.008                    
 207       , 650       , 1        , 0.009000000000000001     
 308       , 264       , 44       , 0.011                    
 284       , 254       , 2        , 0.012                    
 702       , 445       , 1        , 0.022                    
 443       , 184       , 1        , 0.009000000000000001     
 859       , 376       , 1        , 0.018000000000000002     
 316       , 137       , 1        , 0.007                    
 809       , 156       , 1        , 0.007                    
 271       , 560       , 1        , 0.013                    
 361       , 5         , 1        , 0.001                    
 401       , 200       , 1        , 0.009000000000000001     
 10        , 226       , 2        , 0.001                    
 412       , 500       , 4        , 0.02                     
 100       , 78        , 2        , 0.005                    
 763       , 60        , 1        , 0.004                    
 553       , 780       , 1        , 0.027                    
 651       , 93        , 93       , 0.001                    
 786       , 793       , 1        , 0.039                    
 21        , 728       , 7        , 0.002                    
 152       , 81        , 1        , 0.005                    
 317       , 796       , 1        , 0.015000000000000001     
 313       , 879       , 1        , 0.015000000000000001     
 218       , 490       , 2        , 0.011                    
 529       , 868       , 1        , 0.025                    
 31        , 377       , 1        , 0.002                    
 25        , 998       , 1        , 0.002                    
 590       , 633       , 1        , 0.028                    
 720       , 390       , 30       , 0.017                    
 443       , 192       , 1        , 0.009000000000000001     
 254       , 348       , 2        , 0.011                    
 757       , 581       , 1        , 0.027                    
 59        , 388       , 1        , 0.003                    
 155       , 545       , 5        , 0.007                    
 148       , 962       , 74       , 0.004                    
 931       , 576       , 1        , 0.027                    
 654       , 153       , 3        , 0.007                    
 590       , 804       , 2        , 0.028                    
 276       , 70        , 2        , 0.004                    
 358       , 321       , 1        , 0.016                    
 10        , 824       , 2        , 0.001                    
 291       , 91        , 1        , 0.005                    
 236       , 57        , 1        , 0.004                    
 478       , 903       , 1        , 0.025                    
 464       , 258       , 2        , 0.012                    
 107       , 594       , 1        , 0.006                    
 744       , 440       , 8        , 0.020999999999999998     
 580       , 465       , 5        , 0.023                    
 905       , 193       , 1        , 0.009000000000000001     
 784       , 880       , 16       , 0.039                    
 744       , 822       , 6        , 0.036000000000000004     
 288       , 821       , 1        , 0.014                    
 413       , 454       , 1        , 0.019                    
 593       , 298       , 1        , 0.013                    
 823       , 757       , 1        , 0.036000000000000004     
 751       , 379       , 1        , 0.018000000000000002     
 183       , 397       , 1        , 0.008                    
 722       , 436       , 2        , 0.020999999999999998     
 282       , 479       , 1        , 0.014                    
 625       , 931       , 1        , 0.030000000000000002     
 327       , 996       , 3        , 0.016                    
 244       , 868       , 4        , 0.011                    
 723       , 997       , 1        , 0.034999999999999996     
 927       , 71        , 1        , 0.004                    
 682       , 817       , 1        , 0.033                    
 148       , 65        , 1        , 0.003                    
 894       , 143       , 1        , 0.009000000000000001     
 147       , 449       , 1        , 0.008                    
 500       , 463       , 1        , 0.023                    
 409       , 995       , 1        , 0.019                    
 80        , 5         , 5        , 0.001                    
 107       , 678       , 1        , 0.006                    
 850       , 156       , 2        , 0.008                    
 404       , 110       , 2        , 0.006                    
 930       , 408       , 6        , 0.02                     
 540       , 236       , 4        , 0.012                    
 716       , 52        , 4        , 0.003                    
 593       , 229       , 1        , 0.01                     
 143       , 764       , 1        , 0.007                    
 692       , 748       , 4        , 0.034                    
 46        , 288       , 2        , 0.003                    
 117       , 493       , 1        , 0.006                    
 341       , 70        , 1        , 0.004                    
 508       , 767       , 1        , 0.025                    
 728       , 481       , 13       , 0.023                    
 305       , 810       , 5        , 0.014                    
 151       , 201       , 1        , 0.007                    
 745       , 702       , 1        , 0.034                    
 483       , 357       , 21       , 0.016                    
 818       , 749       , 1        , 0.037                    
 440       , 706       , 2        , 0.022                    
 562       , 543       , 1        , 0.026                    
 416       , 79        , 1        , 0.005                    
 473       , 932       , 1        , 0.023                    
 204       , 32        , 4        , 0.002                    
 787       , 194       , 1        , 0.009000000000000001     
 857       , 125       , 1        , 0.006                    
 216       , 822       , 6        , 0.011                    
 406       , 156       , 2        , 0.008                    
 937       , 880       , 1        , 0.043000000000000003     
 559       , 148       , 1        , 0.007                    
 177       , 580       , 1        , 0.008                    
 201       , 461       , 1        , 0.009000000000000001     
 855       , 171       , 171      , 0.001                    
 425       , 378       , 1        , 0.018000000000000002     
 38        , 372       , 2        , 0.003                    
 236       , 867       , 1        , 0.011                    
 75        , 291       , 3        , 0.005                    
 371       , 856       , 1        , 0.018000000000000002     
 819       , 200       , 1        , 0.01                     
 526       , 92        , 2        , 0.006                    
 187       , 527       , 17       , 0.008                    
 491       , 937       , 1        , 0.023                    
 856       , 424       , 8        , 0.02                     
 257       , 308       , 1        , 0.024                    
 780       , 609       , 3        , 0.030000000000000002     
 898       , 703       , 1        , 0.034                    
 649       , 139       , 1        , 0.007                    
 307       , 748       , 1        , 0.015000000000000001     
 788       , 377       , 1        , 0.018000000000000002     
 109       , 99        , 1        , 0.005                    
 838       , 31        , 1        , 0.002                    
 371       , 646       , 1        , 0.018000000000000002     
 411       , 902       , 1        , 0.02                     
 468       , 146       , 2        , 0.008                    
 324       , 626       , 2        , 0.016                    
 493       , 31        , 1        , 0.002                    
 841       , 90        , 1        , 0.005                    
 34        , 807       , 1        , 0.003                    
 317       , 340       , 1        , 0.015000000000000001     
 512       , 85        , 1        , 0.004                    
 456       , 848       , 8        , 0.022                    
 742       , 928       , 2        , 0.036000000000000004     
 312       , 284       , 4        , 0.014                    
 193       , 766       , 1        , 0.009000000000000001     
 214       , 97        , 1        , 0.005                    
 130       , 916       , 2        , 0.006                    
 166       , 833       , 1        , 0.007                    
 506       , 193       , 1        , 0.009000000000000001     
 200       , 925       , 25       , 0.008                    
 306       , 666       , 18       , 0.014                    
 172       , 876       , 4        , 0.008                    
 527       , 687       , 1        , 0.025                    
 56        , 513       , 1        , 0.004                    
 147       , 91        , 7        , 0.005                    
 274       , 712       , 2        , 0.013                    
 655       , 803       , 1        , 0.032                    
 360       , 8         , 8        , 0.0                      
 771       , 212       , 1        , 0.01                     
 904       , 922       , 2        , 0.045000000000000005     
 288       , 523       , 1        , 0.015000000000000001     
 699       , 278       , 1        , 0.013                    
 507       , 204       , 3        , 0.01                     
 454       , 984       , 2        , 0.020999999999999998     
 784       , 76        , 4        , 0.004                    
 589       , 868       , 31       , 0.029                    
 742       , 425       , 1        , 0.020999999999999998     
 645       , 43        , 43       , 0.001                    
 881       , 347       , 1        , 0.016                    
 79        , 667       , 1        , 0.004                    
 1         , 650       , 1        , 0.001                    
 875       , 461       , 1        , 0.023                    
 417       , 965       , 1        , 0.02                     
 346       , 823       , 1        , 0.016                    
 675       , 89        , 1        , 0.005                    
 535       , 135       , 5        , 0.006                    
 152       , 17        , 1        , 0.001                    
 739       , 913       , 1        , 0.034999999999999996     
 462       , 992       , 2        , 0.023                    
 867       , 19        , 1        , 0.002                    
 841       , 858       , 1        , 0.04                     
 523       , 817       , 1        , 0.025                    
 512       , 723       , 1        , 0.025                    
 562       , 537       , 1        , 0.025                    
 664       , 54        , 2        , 0.003                    
 427       , 129       , 1        , 0.006                    
 511       , 404       , 1        , 0.019                    
 176       , 618       , 2        , 0.01                     
 246       , 728       , 2        , 0.012                    
 265       , 468       , 1        , 0.013                    
 640       , 294       , 2        , 0.014                    
 257       , 685       , 1        , 0.012                    
 504       , 692       , 4        , 0.025                    
 147       , 491       , 1        , 0.008                    
 748       , 763       , 1        , 0.037                    
 166       , 377       , 1        , 0.008                    
 938       , 702       , 2        , 0.034                    
 422       , 682       , 2        , 0.02                     
 833       , 672       , 7        , 0.033                    
 200       , 120       , 40       , 0.004                    
 117       , 540       , 9        , 0.006                    
 502       , 489       , 1        , 0.023                    
 667       , 146       , 1        , 0.007                    
 450       , 347       , 1        , 0.017                    
 388       , 584       , 4        , 0.018000000000000002     
 78        , 233       , 1        , 0.004                    
 608       , 384       , 32       , 0.017                    
 915       , 359       , 1        , 0.017                    
 530       , 590       , 10       , 0.025                    
 182       , 472       , 2        , 0.009000000000000001     
 136       , 583       , 1        , 0.007                    
 450       , 595       , 5        , 0.022                    
 967       , 961       , 1        , 0.047                    
 999       , 758       , 1        , 0.036000000000000004     
 432       , 329       , 1        , 0.016                    
 23        , 246       , 1        , 0.002                    
 544       , 76        , 4        , 0.004                    
 489       , 522       , 3        , 0.023                    
 521       , 466       , 1        , 0.022                    
 552       , 915       , 3        , 0.027                    
 371       , 101       , 1        , 0.006                    
 47        , 702       , 1        , 0.003                    
 200       , 988       , 4        , 0.01                     
 112       , 21        , 7        , 0.002                    
 78        , 130       , 26       , 0.004                    
 792       , 278       , 2        , 0.014                    
 887       , 441       , 1        , 0.020999999999999998     
 56        , 289       , 1        , 0.003                    
 450       , 580       , 10       , 0.020999999999999998     
 542       , 216       , 2        , 0.01                     
 655       , 868       , 1        , 0.031                    
 301       , 139       , 1        , 0.01                     
 131       , 786       , 131      , 0.001                    
 342       , 794       , 2        , 0.017                    
 713       , 692       , 1        , 0.034                    
 69        , 823       , 1        , 0.004                    
 832       , 397       , 1        , 0.02                     
 496       , 69        , 1        , 0.004                    
 180       , 361       , 1        , 0.009000000000000001     
 950       , 774       , 2        , 0.038                    
 767       , 7         , 1        , 0.001                    
 898       , 389       , 1        , 0.019                    
 349       , 109       , 1        , 0.005                    
 361       , 104       , 1        , 0.005                    
 332       , 3         , 1        , 0.001                    
 61        , 222       , 1        , 0.003                    
 157       , 972       , 1        , 0.007                    
 369       , 995       , 1        , 0.017                    
 894       , 736       , 2        , 0.036000000000000004     
 227       , 864       , 1        , 0.01                     
 491       , 836       , 1        , 0.023                    
 717       , 670       , 1        , 0.032                    
 496       , 839       , 1        , 0.024                    
 147       , 309       , 3        , 0.007                    
 666       , 341       , 1        , 0.017                    
 517       , 741       , 1        , 0.025                    
 294       , 951       , 3        , 0.015000000000000001     
 328       , 918       , 2        , 0.016                    
 479       , 848       , 1        , 0.023                    
 468       , 866       , 2        , 0.023                    
 994       , 661       , 1        , 0.032                    
 964       , 470       , 2        , 0.022                    
 827       , 521       , 1        , 0.024                    
 201       , 801       , 3        , 0.009000000000000001     
 259       , 867       , 1        , 0.012                    
 989       , 826       , 1        , 0.04                     
 851       , 6         , 1        , 0.001                    
 33        , 420       , 3        , 0.003                    
 284       , 156       , 4        , 0.007                    
 297       , 463       , 1        , 0.014                    
 919       , 174       , 1        , 0.009000000000000001     
