Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 980       , 382       , 2        , 0.033                    
 80        , 545       , 5        , 0.009000000000000001     
 574       , 888       , 2        , 0.049                    
 585       , 667       , 585      , 0.051                    
 857       , 657       , 657      , 0.057                    
 777       , 491       , 491      , 0.041                    
 655       , 634       , 634      , 0.056                    
 808       , 143       , 143      , 0.013                    
 805       , 264       , 264      , 0.020999999999999998     
 336       , 303       , 3        , 0.025                    
 748       , 683       , 683      , 0.059                    
 359       , 279       , 279      , 0.023                    
 128       , 278       , 2        , 0.012                    
 39        , 502       , 39       , 0.005                    
 149       , 630       , 149      , 0.013                    
 302       , 775       , 302      , 0.026                    
 211       , 85        , 85       , 0.009000000000000001     
 326       , 649       , 326      , 0.027                    
 993       , 802       , 802      , 0.074                    
 920       , 482       , 2        , 0.044                    
 7         , 207       , 7        , 0.003                    
 874       , 909       , 874      , 0.078                    
 263       , 405       , 263      , 0.022                    
 630       , 673       , 630      , 0.057                    
 77        , 656       , 77       , 0.008                    
 896       , 259       , 7        , 0.020999999999999998     
 931       , 525       , 7        , 0.417                    
 274       , 570       , 2        , 0.025                    
 842       , 379       , 379      , 0.033                    
 339       , 369       , 3        , 0.030000000000000002     
 33        , 794       , 33       , 0.005                    
 580       , 540       , 2        , 0.048                    
 590       , 724       , 2        , 0.053                    
 673       , 627       , 627      , 0.057                    
 848       , 345       , 345      , 0.031                    
 415       , 900       , 5        , 0.036000000000000004     
 43        , 666       , 43       , 0.005                    
 493       , 920       , 493      , 0.047                    
 884       , 48        , 2        , 0.007                    
 518       , 775       , 518      , 0.046                    
 639       , 8         , 8        , 0.002                    
 653       , 40        , 40       , 0.005                    
 869       , 232       , 232      , 0.02                     
 95        , 650       , 5        , 0.009000000000000001     
 674       , 928       , 2        , 0.060000000000000005     
 455       , 508       , 455      , 0.04                     
 820       , 507       , 507      , 0.046                    
 687       , 850       , 687      , 0.060000000000000005     
 533       , 313       , 313      , 0.028                    
 534       , 919       , 534      , 0.047                    
 495       , 230       , 5        , 0.19699999999999998      
 889       , 471       , 471      , 0.20900000000000002      
 443       , 274       , 274      , 0.023                    
 14        , 901       , 14       , 0.003                    
 791       , 386       , 386      , 0.033                    
 425       , 54        , 54       , 0.006                    
 97        , 185       , 97       , 0.009000000000000001     
 289       , 276       , 276      , 0.023                    
 105       , 111       , 3        , 0.009000000000000001     
 922       , 327       , 327      , 0.025                    
 314       , 135       , 135      , 0.016                    
 843       , 440       , 440      , 0.032                    
 12        , 742       , 2        , 0.003                    
 95        , 189       , 95       , 0.008                    
 419       , 509       , 419      , 0.032                    
 470       , 146       , 2        , 0.011                    
 284       , 430       , 2        , 0.020999999999999998     
 720       , 726       , 2        , 0.368                    
 828       , 133       , 133      , 0.014                    
 523       , 264       , 264      , 0.022                    
 293       , 582       , 293      , 0.024                    
 364       , 7         , 7        , 0.002                    
 516       , 60        , 2        , 0.007                    
 312       , 583       , 312      , 0.028                    
 713       , 926       , 713      , 0.082                    
 821       , 399       , 399      , 0.034                    
 812       , 867       , 812      , 0.081                    
 123       , 386       , 123      , 0.011                    
 207       , 590       , 207      , 0.017                    
 718       , 876       , 2        , 0.063                    
 713       , 998       , 713      , 0.062                    
 670       , 101       , 101      , 0.011                    
 741       , 508       , 508      , 0.043000000000000003     
 797       , 170       , 170      , 0.014                    
 803       , 861       , 803      , 0.074                    
 698       , 867       , 698      , 0.062                    
 800       , 705       , 5        , 0.066                    
 894       , 184       , 2        , 0.017                    
 284       , 690       , 2        , 0.025                    
 883       , 85        , 85       , 0.008                    
 479       , 238       , 238      , 0.019                    
 823       , 97        , 97       , 0.009000000000000001     
 475       , 383       , 383      , 0.034                    
 634       , 523       , 523      , 0.046                    
 976       , 276       , 2        , 0.024                    
 548       , 478       , 2        , 0.154                    
 362       , 354       , 2        , 0.034                    
 626       , 635       , 626      , 0.057                    
 323       , 142       , 142      , 0.014                    
 499       , 580       , 499      , 0.044                    
 806       , 74        , 2        , 0.008                    
 598       , 843       , 598      , 0.053                    
 192       , 334       , 2        , 0.018000000000000002     
 786       , 879       , 3        , 0.06999999999999999      
 439       , 556       , 439      , 0.039                    
 47        , 555       , 47       , 0.006                    
 387       , 196       , 196      , 0.017                    
 345       , 91        , 91       , 0.008                    
 997       , 33        , 33       , 0.004                    
 345       , 743       , 345      , 0.034                    
 959       , 61        , 61       , 0.007                    
 683       , 991       , 683      , 0.061                    
 934       , 278       , 2        , 0.023                    
 642       , 656       , 2        , 0.058                    
 827       , 168       , 168      , 0.015000000000000001     
 812       , 453       , 453      , 0.04                     
 664       , 168       , 2        , 0.015000000000000001     
 157       , 127       , 127      , 0.011                    
 329       , 521       , 329      , 0.028                    
 774       , 342       , 2        , 0.030000000000000002     
 588       , 543       , 3        , 0.048                    
 483       , 828       , 3        , 0.043000000000000003     
 921       , 624       , 3        , 0.056                    
 986       , 760       , 2        , 0.068                    
 807       , 776       , 776      , 0.06999999999999999      
 43        , 881       , 43       , 0.005                    
 469       , 64        , 64       , 0.013                    
 159       , 566       , 159      , 0.014                    
 500       , 116       , 2        , 0.01                     
 804       , 260       , 2        , 0.023                    
 325       , 318       , 318      , 0.028                    
 769       , 509       , 509      , 0.044                    
 23        , 648       , 23       , 0.003                    
 133       , 339       , 133      , 0.012                    
 17        , 232       , 17       , 0.003                    
 1         , 175       , 1        , 0.002                    
 459       , 196       , 196      , 0.016                    
 319       , 399       , 319      , 0.028                    
 87        , 458       , 87       , 0.009000000000000001     
 503       , 95        , 95       , 0.009000000000000001     
 294       , 614       , 2        , 0.025                    
 140       , 150       , 2        , 0.014                    
 337       , 338       , 337      , 0.029                    
 46        , 422       , 2        , 0.006                    
 515       , 174       , 174      , 0.015000000000000001     
 449       , 392       , 392      , 0.033                    
 747       , 111       , 3        , 0.01                     
 55        , 773       , 55       , 0.006                    
 837       , 772       , 772      , 0.06999999999999999      
 772       , 636       , 2        , 0.058                    
 939       , 444       , 3        , 0.039                    
 395       , 377       , 377      , 0.032                    
 3         , 751       , 3        , 0.002                    
 652       , 6         , 2        , 0.002                    
 473       , 187       , 11       , 0.017                    
 829       , 255       , 255      , 0.020999999999999998     
 225       , 119       , 119      , 0.012                    
 702       , 486       , 2        , 0.044                    
 954       , 857       , 857      , 0.077                    
 867       , 110       , 110      , 0.01                     
 123       , 169       , 123      , 0.012                    
 539       , 367       , 367      , 0.031                    
 842       , 138       , 2        , 0.012                    
 328       , 71        , 71       , 0.028                    
 291       , 571       , 291      , 0.023                    
 475       , 151       , 151      , 0.013                    
 717       , 351       , 3        , 0.030000000000000002     
 559       , 196       , 196      , 0.017                    
 994       , 748       , 2        , 0.066                    
 715       , 862       , 715      , 0.063                    
 419       , 257       , 257      , 0.024                    
 664       , 501       , 501      , 0.044                    
 26        , 687       , 26       , 0.004                    
 193       , 832       , 193      , 0.016                    
 174       , 910       , 2        , 0.015000000000000001     
 435       , 437       , 435      , 0.039                    
 402       , 641       , 402      , 0.036000000000000004     
 808       , 88        , 2        , 0.009000000000000001     
 125       , 188       , 125      , 0.013                    
 274       , 4         , 2        , 0.002                    
 399       , 465       , 3        , 0.202                    
 382       , 55        , 55       , 0.008                    
 622       , 83        , 83       , 0.008                    
 914       , 907       , 907      , 0.08                     
 316       , 680       , 2        , 0.027                    
 901       , 608       , 608      , 0.056                    
 371       , 280       , 7        , 0.025                    
 207       , 102       , 3        , 0.01                     
 450       , 741       , 3        , 0.039                    
 406       , 149       , 149      , 0.030000000000000002     
 100       , 517       , 100      , 0.01                     
 812       , 744       , 2        , 0.07100000000000001      
 216       , 35        , 35       , 0.005                    
 11        , 467       , 11       , 0.002                    
 736       , 143       , 143      , 0.013                    
 266       , 857       , 266      , 0.022                    
 870       , 566       , 2        , 0.05                     
 495       , 929       , 495      , 0.044                    
 177       , 337       , 177      , 0.015000000000000001     
 672       , 942       , 2        , 0.061                    
 764       , 302       , 2        , 0.026                    
 697       , 635       , 635      , 0.057                    
 986       , 241       , 241      , 0.020999999999999998     
 11        , 145       , 11       , 0.002                    
 733       , 247       , 247      , 0.020999999999999998     
 836       , 586       , 2        , 0.053                    
 138       , 944       , 2        , 0.013                    
 580       , 632       , 2        , 0.051                    
 519       , 286       , 286      , 0.024                    
 44        , 293       , 44       , 0.006                    
 111       , 767       , 111      , 0.011                    
 634       , 697       , 634      , 0.14100000000000001      
 518       , 364       , 2        , 0.033                    
 692       , 23        , 23       , 0.004                    
 45        , 624       , 3        , 0.006                    
 393       , 200       , 200      , 0.020999999999999998     
 928       , 799       , 799      , 0.07100000000000001      
 471       , 216       , 3        , 0.018000000000000002     
 12        , 520       , 2        , 0.003                    
 908       , 476       , 2        , 0.041                    
 816       , 988       , 2        , 0.07200000000000001      
 708       , 75        , 3        , 0.008                    
 583       , 584       , 583      , 0.05                     
 937       , 367       , 367      , 0.030000000000000002     
 505       , 318       , 318      , 0.027                    
 853       , 429       , 429      , 0.039                    
 181       , 394       , 181      , 0.016                    
 316       , 972       , 2        , 0.027                    
 725       , 135       , 5        , 0.012                    
 742       , 97        , 97       , 0.009000000000000001     
 794       , 845       , 794      , 0.06899999999999999      
 675       , 399       , 3        , 0.034                    
 796       , 518       , 2        , 0.044                    
 443       , 639       , 443      , 0.054                    
 56        , 183       , 56       , 0.007                    
 488       , 129       , 129      , 0.012                    
 547       , 453       , 453      , 0.039                    
 839       , 430       , 430      , 0.036000000000000004     
 800       , 523       , 523      , 0.046                    
 595       , 681       , 595      , 0.059                    
 727       , 942       , 727      , 0.064                    
 989       , 189       , 189      , 0.016                    
 556       , 756       , 2        , 0.049                    
 453       , 782       , 453      , 0.039                    
 842       , 895       , 842      , 0.075                    
 367       , 983       , 367      , 0.031                    
 825       , 930       , 3        , 0.074                    
 346       , 125       , 125      , 0.011                    
 19        , 754       , 19       , 0.003                    
 293       , 406       , 293      , 0.025                    
 983       , 233       , 233      , 0.019                    
 22        , 375       , 22       , 0.004                    
 972       , 706       , 2        , 0.064                    
 835       , 648       , 648      , 0.059                    
 229       , 556       , 229      , 0.019                    
 489       , 431       , 431      , 0.037                    
 339       , 235       , 235      , 0.019                    
 788       , 668       , 2        , 0.059                    
 976       , 988       , 2        , 0.087                    
 206       , 547       , 206      , 0.017                    
 610       , 460       , 2        , 0.041                    
 554       , 933       , 554      , 0.049                    
 583       , 764       , 583      , 0.051                    
 124       , 247       , 124      , 0.012                    
 654       , 912       , 2        , 0.058                    
 262       , 680       , 2        , 0.022                    
 744       , 596       , 2        , 0.053                    
 831       , 478       , 478      , 0.041999999999999996     
 220       , 114       , 2        , 0.011                    
 113       , 66        , 66       , 0.007                    
 877       , 966       , 877      , 0.077                    
 659       , 459       , 459      , 0.04                     
 989       , 269       , 269      , 0.023                    
 403       , 48        , 48       , 0.005                    
 788       , 307       , 307      , 0.025                    
 260       , 598       , 2        , 0.022                    
 129       , 274       , 129      , 0.012                    
 770       , 906       , 2        , 0.06899999999999999      
 788       , 704       , 2        , 0.063                    
 117       , 314       , 117      , 0.011                    
 902       , 151       , 151      , 0.014                    
 653       , 587       , 587      , 0.055                    
 441       , 333       , 3        , 0.029                    
 936       , 644       , 2        , 0.059                    
 955       , 524       , 524      , 0.046                    
 708       , 290       , 2        , 0.025                    
 193       , 253       , 193      , 0.016                    
 43        , 712       , 43       , 0.005                    
 498       , 285       , 3        , 0.024                    
 943       , 740       , 740      , 0.066                    
 656       , 230       , 2        , 0.02                     
 390       , 966       , 2        , 0.034999999999999996     
 941       , 749       , 749      , 0.067                    
 732       , 631       , 631      , 0.056                    
 575       , 691       , 575      , 0.051                    
 1000      , 409       , 409      , 0.037                    
 514       , 477       , 477      , 0.041                    
 935       , 992       , 935      , 0.08399999999999999      
 476       , 538       , 2        , 0.041999999999999996     
 175       , 419       , 175      , 0.015000000000000001     
 937       , 326       , 326      , 0.027                    
 409       , 495       , 409      , 0.036000000000000004     
 449       , 138       , 138      , 0.013                    
 869       , 885       , 869      , 0.078                    
 70        , 984       , 2        , 0.009000000000000001     
 354       , 389       , 354      , 0.030000000000000002     
 863       , 477       , 477      , 0.041999999999999996     
 953       , 972       , 953      , 0.085                    
 887       , 421       , 421      , 0.037                    
 851       , 102       , 102      , 0.01                     
 157       , 545       , 157      , 0.013                    
 938       , 454       , 2        , 0.04                     
 881       , 874       , 874      , 0.078                    
 967       , 40        , 40       , 0.005                    
 802       , 835       , 802      , 0.07200000000000001      
 746       , 420       , 2        , 0.036000000000000004     
 348       , 115       , 115      , 0.011                    
 685       , 56        , 56       , 0.006                    
 548       , 438       , 2        , 0.039                    
 887       , 287       , 287      , 0.023                    
 846       , 247       , 247      , 0.020999999999999998     
 253       , 358       , 253      , 0.020999999999999998     
 933       , 288       , 3        , 0.024                    
 107       , 906       , 107      , 0.009000000000000001     
 986       , 841       , 29       , 0.076                    
 999       , 807       , 3        , 0.07200000000000001      
 907       , 352       , 352      , 0.030000000000000002     
 582       , 953       , 582      , 0.051                    
 789       , 138       , 3        , 0.013                    
 669       , 544       , 544      , 0.048                    
 970       , 113       , 113      , 0.011                    
 321       , 31        , 31       , 0.004                    
 977       , 413       , 413      , 0.034999999999999996     
 852       , 416       , 2        , 0.036000000000000004     
 297       , 793       , 297      , 0.025                    
 831       , 925       , 831      , 0.074                    
 104       , 337       , 104      , 0.009000000000000001     
 619       , 17        , 17       , 0.003                    
 387       , 705       , 3        , 0.029                    
 782       , 445       , 445      , 0.038                    
 623       , 195       , 195      , 0.017                    
 869       , 726       , 11       , 0.063                    
 702       , 225       , 3        , 0.019                    
 490       , 848       , 2        , 0.044                    
 554       , 273       , 273      , 0.022                    
 428       , 86        , 2        , 0.009000000000000001     
 675       , 478       , 478      , 0.041                    
 979       , 419       , 419      , 0.034999999999999996     
 381       , 735       , 3        , 0.033                    
 415       , 89        , 89       , 0.009000000000000001     
 733       , 518       , 518      , 0.053                    
 30        , 592       , 2        , 0.006                    
 764       , 527       , 527      , 0.051                    
 306       , 362       , 2        , 0.028                    
 497       , 950       , 497      , 0.044                    
 210       , 110       , 2        , 0.011                    
 845       , 1000      , 5        , 0.075                    
 275       , 399       , 275      , 0.023                    
 832       , 63        , 63       , 0.007                    
 836       , 375       , 375      , 0.031                    
 135       , 778       , 135      , 0.012                    
 578       , 138       , 2        , 0.013                    
 829       , 701       , 701      , 0.062                    
 773       , 671       , 671      , 0.057                    
 210       , 9         , 3        , 0.003                    
 341       , 497       , 341      , 0.029                    
 583       , 744       , 583      , 0.05                     
 353       , 642       , 353      , 0.029                    
 729       , 232       , 232      , 0.019                    
 352       , 439       , 352      , 0.029                    
 863       , 407       , 407      , 0.034                    
 765       , 555       , 3        , 0.047                    
 23        , 639       , 23       , 0.004                    
 94        , 810       , 2        , 0.009000000000000001     
 375       , 840       , 3        , 0.031                    
 755       , 87        , 87       , 0.008                    
 28        , 569       , 28       , 0.004                    
 852       , 858       , 2        , 0.074                    
 299       , 415       , 299      , 0.041999999999999996     
 295       , 646       , 295      , 0.024                    
 164       , 722       , 2        , 0.014                    
 771       , 247       , 247      , 0.02                     
 773       , 826       , 773      , 0.067                    
 202       , 640       , 2        , 0.017                    
 597       , 455       , 455      , 0.039                    
 412       , 639       , 412      , 0.034999999999999996     
 529       , 301       , 301      , 0.023                    
 408       , 296       , 2        , 0.024                    
 817       , 757       , 757      , 0.067                    
 576       , 570       , 2        , 0.053                    
 279       , 488       , 279      , 0.025                    
 375       , 729       , 3        , 0.032                    
 861       , 768       , 3        , 0.06899999999999999      
 299       , 492       , 299      , 0.025                    
 734       , 304       , 2        , 0.026                    
 841       , 374       , 374      , 0.032                    
 908       , 597       , 597      , 0.051                    
 917       , 591       , 591      , 0.052                    
 247       , 327       , 247      , 0.020999999999999998     
 109       , 353       , 109      , 0.009000000000000001     
 748       , 148       , 2        , 0.013                    
 786       , 516       , 2        , 0.045000000000000005     
 321       , 97        , 97       , 0.009000000000000001     
 72        , 119       , 72       , 0.008                    
 753       , 204       , 3        , 0.017                    
 185       , 814       , 37       , 0.016                    
 295       , 996       , 295      , 0.026                    
 164       , 788       , 2        , 0.014                    
 381       , 952       , 381      , 0.033                    
 555       , 659       , 555      , 0.049                    
 725       , 391       , 391      , 0.034                    
 396       , 894       , 2        , 0.034999999999999996     
 373       , 844       , 373      , 0.031                    
 337       , 680       , 337      , 0.028                    
 66        , 403       , 66       , 0.007                    
 586       , 774       , 2        , 0.051                    
 244       , 758       , 2        , 0.020999999999999998     
 5         , 711       , 5        , 0.003                    
 872       , 52        , 2        , 0.006                    
 33        , 628       , 33       , 0.005                    
 292       , 85        , 85       , 0.008                    
 191       , 63        , 63       , 0.006                    
 28        , 536       , 2        , 0.004                    
 259       , 738       , 259      , 0.022                    
 51        , 391       , 17       , 0.005                    
 540       , 314       , 2        , 0.028                    
 340       , 458       , 2        , 0.030000000000000002     
 78        , 815       , 78       , 0.008                    
 176       , 305       , 176      , 0.016                    
 794       , 153       , 153      , 0.014                    
 982       , 856       , 2        , 0.078                    
 162       , 672       , 2        , 0.016                    
 545       , 224       , 224      , 0.018000000000000002     
 328       , 252       , 2        , 0.020999999999999998     
 790       , 83        , 83       , 0.008                    
 169       , 990       , 169      , 0.014                    
 93        , 862       , 93       , 0.009000000000000001     
 288       , 619       , 288      , 0.026                    
 840       , 713       , 713      , 0.063                    
 935       , 754       , 754      , 0.067                    
 333       , 509       , 333      , 0.030000000000000002     
 312       , 615       , 3        , 0.027                    
 296       , 557       , 296      , 0.026                    
 966       , 111       , 3        , 0.011                    
 1         , 848       , 1        , 0.002                    
 482       , 941       , 482      , 0.041999999999999996     
 297       , 733       , 297      , 0.027                    
 71        , 477       , 71       , 0.007                    
 865       , 208       , 208      , 0.017                    
 17        , 769       , 17       , 0.003                    
 878       , 31        , 31       , 0.004                    
 979       , 397       , 397      , 0.034999999999999996     
 654       , 964       , 2        , 0.057                    
 216       , 843       , 3        , 0.018000000000000002     
 865       , 847       , 847      , 0.079                    
 236       , 457       , 236      , 0.023                    
 464       , 571       , 464      , 0.041                    
 176       , 131       , 131      , 0.012                    
 381       , 947       , 381      , 0.031                    
 419       , 787       , 419      , 0.036000000000000004     
 331       , 133       , 133      , 0.011                    
 424       , 83        , 83       , 0.01                     
 691       , 787       , 691      , 0.060000000000000005     
 981       , 403       , 403      , 0.034999999999999996     
 328       , 981       , 328      , 0.029                    
 402       , 856       , 2        , 0.036000000000000004     
 747       , 975       , 3        , 0.06899999999999999      
 279       , 498       , 3        , 0.025                    
 866       , 636       , 2        , 0.211                    
 234       , 908       , 2        , 0.023                    
 562       , 424       , 2        , 0.038                    
 464       , 846       , 2        , 0.041                    
 402       , 745       , 402      , 0.033                    
 975       , 752       , 752      , 0.066                    
 652       , 614       , 2        , 0.052                    
 413       , 815       , 413      , 0.034999999999999996     
 901       , 874       , 874      , 0.075                    
 200       , 203       , 200      , 0.017                    
 610       , 536       , 2        , 0.046                    
 881       , 232       , 232      , 0.019                    
 947       , 126       , 126      , 0.011                    
 972       , 409       , 409      , 0.034999999999999996     
 229       , 188       , 188      , 0.015000000000000001     
 840       , 709       , 709      , 0.062                    
 590       , 203       , 203      , 0.020999999999999998     
 294       , 750       , 2        , 0.024                    
 373       , 816       , 373      , 0.031                    
 416       , 991       , 416      , 0.037                    
 160       , 35        , 5        , 0.006                    
 490       , 465       , 5        , 0.04                     
 957       , 150       , 3        , 0.013                    
 475       , 359       , 359      , 0.030000000000000002     
 241       , 116       , 116      , 0.011                    
 63        , 650       , 63       , 0.007                    
 701       , 810       , 701      , 0.061                    
 966       , 943       , 23       , 0.176                    
 102       , 421       , 102      , 0.012                    
 538       , 270       , 2        , 0.022                    
 879       , 46        , 46       , 0.005                    
 990       , 493       , 493      , 0.043000000000000003     
 757       , 299       , 299      , 0.024                    
 767       , 256       , 256      , 0.020999999999999998     
 839       , 712       , 712      , 0.062                    
 708       , 258       , 2        , 0.022                    
 152       , 907       , 152      , 0.013                    
 208       , 231       , 208      , 0.018000000000000002     
 437       , 797       , 437      , 0.037                    
 835       , 283       , 283      , 0.029                    
 235       , 283       , 235      , 0.019                    
 82        , 880       , 2        , 0.008                    
 664       , 75        , 75       , 0.008                    
 893       , 544       , 544      , 0.049                    
 854       , 419       , 419      , 0.038                    
 277       , 391       , 277      , 0.024                    
 900       , 284       , 2        , 0.025                    
 470       , 727       , 470      , 0.04                     
 62        , 694       , 2        , 0.006                    
 504       , 856       , 2        , 0.045000000000000005     
 908       , 191       , 191      , 0.034                    
 334       , 451       , 334      , 0.029                    
 634       , 515       , 515      , 0.045000000000000005     
 329       , 471       , 329      , 0.027                    
 853       , 762       , 762      , 0.066                    
 242       , 612       , 2        , 0.02                     
 325       , 282       , 282      , 0.024                    
 829       , 855       , 829      , 0.073                    
 510       , 949       , 510      , 0.044                    
 976       , 710       , 2        , 0.063                    
 573       , 643       , 573      , 0.051                    
 163       , 514       , 163      , 0.013                    
 733       , 296       , 296      , 0.024                    
 73        , 944       , 73       , 0.007                    
 69        , 344       , 69       , 0.007                    
 813       , 800       , 800      , 0.06899999999999999      
 426       , 653       , 426      , 0.036000000000000004     
 528       , 699       , 3        , 0.046                    
 727       , 858       , 727      , 0.063                    
 951       , 41        , 41       , 0.005                    
 52        , 934       , 2        , 0.006                    
 1         , 455       , 1        , 0.002                    
 242       , 235       , 235      , 0.018000000000000002     
 271       , 616       , 271      , 0.022                    
 985       , 772       , 772      , 0.06999999999999999      
 732       , 99        , 3        , 0.012                    
 207       , 353       , 207      , 0.018000000000000002     
 20        , 298       , 2        , 0.004                    
 407       , 849       , 407      , 0.034999999999999996     
 908       , 675       , 675      , 0.061                    
 704       , 737       , 11       , 0.06499999999999999      
 649       , 560       , 560      , 0.052                    
 828       , 328       , 2        , 0.020999999999999998     
 337       , 838       , 337      , 0.016                    
 792       , 969       , 3        , 0.057                    
 11        , 773       , 11       , 0.002                    
 106       , 596       , 2        , 0.005                    
 423       , 581       , 423      , 0.02                     
 305       , 515       , 5        , 0.019                    
 25        , 81        , 25       , 0.005                    
 605       , 186       , 186      , 0.012                    
 94        , 460       , 2        , 0.005                    
 88        , 4         , 2        , 0.001                    
 874       , 777       , 777      , 0.038                    
 802       , 257       , 257      , 0.02                     
 346       , 770       , 2        , 0.016                    
 589       , 359       , 359      , 0.016                    
 312       , 273       , 3        , 0.014                    
 766       , 924       , 2        , 0.044                    
 664       , 789       , 664      , 0.032                    
 608       , 347       , 347      , 0.022                    
 740       , 223       , 223      , 0.011                    
 416       , 426       , 2        , 0.019                    
 969       , 848       , 848      , 0.048                    
 55        , 852       , 55       , 0.004                    
 668       , 946       , 2        , 0.034999999999999996     
 288       , 325       , 288      , 0.014                    
 807       , 874       , 807      , 0.047                    
 338       , 272       , 2        , 0.013                    
 120       , 117       , 3        , 0.007                    
 675       , 647       , 647      , 0.039                    
 509       , 122       , 122      , 0.006                    
 390       , 870       , 2        , 0.019                    
 137       , 339       , 137      , 0.007                    
