Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 593       , 162       , 162      , 0.02                     
 897       , 115       , 23       , 0.013                    
 963       , 518       , 518      , 0.046                    
 18        , 362       , 2        , 0.004                    
 256       , 931       , 256      , 0.020999999999999998     
 718       , 237       , 237      , 0.02                     
 346       , 311       , 311      , 0.026                    
 856       , 139       , 139      , 0.013                    
 621       , 610       , 610      , 0.053                    
 20        , 211       , 20       , 0.004                    
 270       , 76        , 2        , 0.009000000000000001     
 352       , 268       , 2        , 0.023                    
 546       , 210       , 2        , 0.018000000000000002     
 468       , 915       , 3        , 0.041                    
 511       , 958       , 511      , 0.044                    
 574       , 631       , 574      , 0.051                    
 854       , 640       , 2        , 0.057                    
 208       , 365       , 208      , 0.018000000000000002     
 359       , 738       , 359      , 0.031                    
 254       , 331       , 254      , 0.022                    
 839       , 621       , 621      , 0.054                    
 341       , 627       , 11       , 0.029                    
 24        , 603       , 3        , 0.004                    
 366       , 196       , 2        , 0.017                    
 787       , 217       , 217      , 0.017                    
 303       , 563       , 303      , 0.025                    
 847       , 536       , 536      , 0.047                    
 746       , 169       , 169      , 0.014                    
 358       , 104       , 2        , 0.01                     
 55        , 102       , 55       , 0.005                    
 713       , 573       , 573      , 0.049                    
 437       , 485       , 437      , 0.039                    
 132       , 317       , 132      , 0.013                    
 602       , 663       , 602      , 0.054                    
 678       , 873       , 3        , 0.062                    
 526       , 576       , 2        , 0.046                    
 366       , 845       , 366      , 0.030000000000000002     
 663       , 121       , 121      , 0.011                    
 586       , 649       , 586      , 0.054                    
 175       , 345       , 5        , 0.017                    
 644       , 358       , 2        , 0.034                    
 618       , 455       , 455      , 0.04                     
 754       , 71        , 71       , 0.008                    
 288       , 627       , 3        , 0.023                    
 790       , 60        , 2        , 0.007                    
 375       , 629       , 375      , 0.031                    
 235       , 58        , 58       , 0.006                    
 552       , 80        , 2        , 0.009000000000000001     
 286       , 929       , 286      , 0.032                    
 95        , 155       , 5        , 0.01                     
 684       , 547       , 547      , 0.05                     
 499       , 59        , 59       , 0.007                    
 837       , 508       , 508      , 0.045000000000000005     
 773       , 492       , 492      , 0.043000000000000003     
 915       , 677       , 677      , 0.060000000000000005     
 75        , 428       , 75       , 0.008                    
 783       , 693       , 3        , 0.062                    
 212       , 115       , 115      , 0.012                    
 873       , 790       , 790      , 0.06999999999999999      
 287       , 782       , 287      , 0.025                    
 169       , 914       , 169      , 0.015000000000000001     
 539       , 797       , 539      , 0.048                    
 542       , 274       , 2        , 0.023                    
 863       , 347       , 347      , 0.029                    
 526       , 915       , 526      , 0.047                    
 381       , 731       , 381      , 0.033                    
 660       , 179       , 179      , 0.017                    
 914       , 323       , 323      , 0.028                    
 825       , 508       , 508      , 0.045000000000000005     
 818       , 198       , 2        , 0.018000000000000002     
 168       , 992       , 2        , 0.016                    
 659       , 735       , 659      , 0.061                    
 355       , 269       , 269      , 0.023                    
 579       , 391       , 391      , 0.034                    
 149       , 301       , 149      , 0.041                    
 872       , 410       , 2        , 0.059                    
 1         , 17        , 1        , 0.002                    
 566       , 336       , 2        , 0.030000000000000002     
 583       , 581       , 581      , 0.052                    
 389       , 73        , 73       , 0.009000000000000001     
 321       , 208       , 208      , 0.018000000000000002     
 974       , 738       , 2        , 0.066                    
 370       , 548       , 2        , 0.033                    
 999       , 664       , 664      , 0.061                    
 209       , 192       , 192      , 0.019                    
 205       , 650       , 5        , 0.017                    
 380       , 289       , 289      , 0.030000000000000002     
 85        , 956       , 85       , 0.011                    
 943       , 622       , 622      , 0.056                    
 613       , 117       , 117      , 0.012                    
 153       , 411       , 3        , 0.014                    
 565       , 168       , 168      , 0.015000000000000001     
 493       , 169       , 169      , 0.015000000000000001     
 978       , 981       , 3        , 0.089                    
 168       , 997       , 168      , 0.023                    
 48        , 629       , 48       , 0.007                    
 118       , 583       , 118      , 0.011                    
 829       , 258       , 258      , 0.020999999999999998     
 60        , 769       , 60       , 0.007                    
 410       , 239       , 239      , 0.018000000000000002     
 619       , 74        , 74       , 0.008                    
 957       , 818       , 818      , 0.073                    
 206       , 769       , 206      , 0.018000000000000002     
 967       , 656       , 656      , 0.056                    
 67        , 613       , 67       , 0.007                    
 569       , 929       , 569      , 0.054                    
 841       , 561       , 561      , 0.05                     
 596       , 925       , 596      , 0.052                    
 546       , 998       , 2        , 0.049                    
 431       , 287       , 287      , 0.025                    
 42        , 762       , 2        , 0.006                    
 845       , 989       , 845      , 0.074                    
 529       , 975       , 529      , 0.044                    
 324       , 187       , 187      , 0.017                    
 898       , 157       , 157      , 0.013                    
 896       , 656       , 2        , 0.057                    
 48        , 383       , 48       , 0.011                    
 610       , 8         , 2        , 0.002                    
 778       , 317       , 317      , 0.026                    
 285       , 878       , 285      , 0.023                    
 145       , 412       , 145      , 0.013                    
 149       , 711       , 149      , 0.013                    
 996       , 280       , 2        , 0.023                    
