Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 493       , 920       , 1        , 0.057                    
 884       , 48        , 4        , 0.007                    
 518       , 775       , 1        , 0.044                    
 639       , 8         , 1        , 0.003                    
 653       , 40        , 1        , 0.004                    
 869       , 232       , 1        , 0.018000000000000002     
 95        , 650       , 5        , 0.009000000000000001     
 674       , 928       , 2        , 0.058                    
 455       , 508       , 1        , 0.039                    
 820       , 507       , 1        , 0.044                    
 687       , 850       , 1        , 0.059                    
 533       , 313       , 1        , 0.025                    
 534       , 919       , 1        , 0.046                    
 495       , 230       , 5        , 0.019                    
 889       , 471       , 1        , 0.04                     
 443       , 274       , 1        , 2.176                    
 14        , 901       , 1        , 0.005                    
 791       , 386       , 1        , 0.068                    
 425       , 54        , 1        , 0.008                    
 97        , 185       , 1        , 0.009000000000000001     
 289       , 276       , 1        , 0.055                    
 105       , 111       , 3        , 0.011                    
 922       , 327       , 1        , 0.056                    
 314       , 135       , 1        , 0.013                    
 843       , 440       , 1        , 0.064                    
 12        , 742       , 2        , 0.005                    
 95        , 189       , 1        , 0.036000000000000004     
 419       , 509       , 1        , 0.036000000000000004     
 470       , 146       , 2        , 0.033                    
 284       , 430       , 2        , 0.024                    
 720       , 726       , 6        , 0.060000000000000005     
 828       , 133       , 1        , 0.011                    
 523       , 264       , 1        , 0.019                    
 293       , 582       , 1        , 0.020999999999999998     
 364       , 7         , 1        , 0.002                    
 516       , 60        , 12       , 0.006                    
 312       , 583       , 1        , 0.024                    
 713       , 926       , 1        , 0.057                    
 821       , 399       , 1        , 0.030000000000000002     
 812       , 867       , 1        , 0.247                    
 123       , 386       , 1        , 0.011                    
 207       , 590       , 1        , 0.016                    
 718       , 876       , 2        , 0.057                    
 713       , 998       , 1        , 0.057                    
 670       , 101       , 1        , 0.008                    
 741       , 508       , 1        , 0.04                     
 797       , 170       , 1        , 0.013                    
 803       , 861       , 1        , 0.06499999999999999      
 698       , 867       , 1        , 0.055                    
 800       , 705       , 5        , 0.057                    
 894       , 184       , 2        , 0.014                    
 284       , 690       , 2        , 0.022                    
 883       , 85        , 1        , 0.008                    
 479       , 238       , 1        , 0.019                    
 823       , 97        , 1        , 0.009000000000000001     
 475       , 383       , 1        , 0.031                    
 634       , 523       , 1        , 0.044                    
 976       , 276       , 4        , 0.023                    
 548       , 478       , 2        , 0.041999999999999996     
 362       , 354       , 2        , 0.029                    
 626       , 635       , 1        , 0.055                    
 323       , 142       , 1        , 0.015000000000000001     
 499       , 580       , 1        , 0.041999999999999996     
 806       , 74        , 2        , 0.008                    
 598       , 843       , 1        , 0.053                    
 192       , 334       , 2        , 0.017                    
 786       , 879       , 3        , 0.06899999999999999      
 439       , 556       , 1        , 0.037                    
 47        , 555       , 1        , 0.005                    
 387       , 196       , 1        , 0.016                    
